CourseCode,CourseTitle,Skill1,Skill2,Skill3,Skill4,Skill5,MainSkill,SkillLevel
IT1030,Mathematics for Computing,Boolean Algebra & Logic,Number Systems & Computer Arithmetic,Calculus & Differentiation,Integration & Applications,Graph Theory & Matrices,Mathematics & Logical Thinking,Beginner/Intermediate
IT1020,Introduction to Computer Systems,Data Representation & Computer Architecture,Combinational & Sequential Logic Circuits,Operating Systems Basics,Networking Fundamentals & ISO/OSI Layers,IP Addressing & Network Design,Computer Systems & Networking,Beginner/Intermediate
IT1010,Introduction to Programming,Procedural Programming Concepts,Control Structures & Loops,Functions & Recursion,Pointers & Memory Management,"Arrays, Structures & File Handling",Programming Fundamentals & C Language,Beginner
IT1100,Internet and Web Technologies,Internet & Web Protocols,Social Media & Digital Content,e-Commerce & Web Security,HTML/CSS & UI Design,JavaScript/PHP Web Development,Web Development & Internet Technologies,Beginner/Intermediate
IT1090,Information Systems and Data Modeling,Information Systems Analysis,Strategic IS & Decision Support,Data Modeling & ER Diagrams,Schema Refinement & Normalization,SQL Database Management (DDL/DML),Information Systems & Database Design,Beginner/Intermediate
IT1080,English for Academic Purposes,Academic Writing & Grammar,Reading Comprehension,Academic Listening & Note-taking,Speaking & Presentations,"Paraphrasing, Summarizing & Referencing",Academic Communication Skills,Beginner
IT1050,Object Oriented Concepts,Object-Oriented Programming Fundamentals,"Classes, Objects & Properties",Inheritance & Polymorphism,"Encapsulation, Abstraction & Interfaces",C++ Programming Implementation,Object-Oriented Design & Programming,Beginner/Intermediate
IT1090,Information Systems and Data Modeling,Information Systems Analysis,Strategic IS & Decision Support,Data Modeling & ER Diagrams,Schema Refinement & Normalization,SQL Database Management (DDL/DML),Information Systems & Database Design,Beginner/Intermediate
IT1060,Software Process Modeling,Software Engineering Fundamentals,Software Life Cycle Modeling,Requirements Engineering & UML,Software Design & Testing,Agile Development & SCRUM,Software Development Processes,Beginner/Intermediate
IT2060,Operating Systems and System Administration,OS Concepts & Architecture,Process & Thread Management,Memory & Virtual Memory Management,File System & I/O Management,System Security & Administration Scripting,Operating Systems & System Administration,Intermediate
IT2050,Computer Networks,Network Device Configuration (Routers/Switches),IP Addressing & Subnetting,Routing & TCP/UDP Protocols,Network Security & ACLs,"VLAN, Spanning Tree & Trunking",Networking & Protocol Management,Intermediate
IT2040,Database Management Systems,Database Design & Conceptual Modeling,Logical Database Design & Schema Refinement,SQL Querying & Database Programming,Database Connectivity (ODBC/JDBC),Database Security & Performance Optimization,Database Design & Administration,Intermediate
IT2030,Object Oriented Programming,Java Programming Fundamentals,Object-Oriented Concepts & Recap,Exception Handling & Debugging,"Collections, Generics & Threads",Design Patterns & Web-based Project,Java & Object-Oriented Application Development,Intermediate
IT2020,Software Engineering,Functional & Object-Oriented Analysis & Design,UML Modeling & Behavioral Modeling,"Design Patterns (Creational, Structural, Behavioral)",Software Testing & Unit Testing,"Supportive Software Processes (Configuration, Version, Release Management)",Software Development & Engineering Practices,Intermediate
IT2110,Probability & Statistics,Descriptive & Inferential Statistics,Sampling & Probability Theory,Probability Distributions & Random Variables,Hypothesis Testing & Chi-Squared Tests,Regression & Time Series Analysis,Statistical Analysis & Data Interpretation,Intermediate
IT2100,Employability Skills Development Seminar,Soft Skills & Professionalism,Industry Expectations & Workplace Adaptation,Job Role Awareness,Industrial Tools & Technologies,Ethics & Professional Conduct,Employability & Workplace Readiness,Beginner
IT2090,Professional Skills,Personal Development & Work Ethics,Teamwork & Collaboration,Diversity & Inclusion Awareness,Legal & Professional Responsibilities,Intellectual Property & Entrepreneurship,Professionalism & Workplace Readiness,Beginner
