job_id,title,company,role_key,Academic Communication Skills,Advanced Database Design & Management,Computer Systems & Networking,Data Engineering & BI Analytics,Database Administration & Storage,Database Design & Administration,Employability & Workplace Readiness,Full-Stack Web Application Development,IT Project Management & Execution,Information Retrieval & Web Analytics,Information Security Analytics,Information Systems & Database Design,Java & Object-Oriented Application Development,Machine Learning & Optimization,Mathematics & Logical Thinking,Mobile Application Design & Development,Networking & Protocol Management,Object-Oriented Design & Programming,Operating Systems & System Administration,Problem Solving & Algorithm Development,Professionalism & Workplace Readiness,Programming Fundamentals & C Language,Software Development & Engineering Practices,Software Development Processes,Statistical Analysis & Data Interpretation,Statistical Modeling & Data Analysis,Web Development & Internet Technologies
lead-ai-ml-engineer-%2B-agent-orchestration-1m-lkr-p-m-at-codax-4324581179,Lead AI/ML Engineer + Agent Orchestration (1M LKR - P/m),codax,ai_ml_engineer,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
machine-learning-engineer-python-ifs-loops-at-ifs-4337104017,Machine Learning Engineer (Python)- IFS Loops,IFS,ai_ml_engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
ai-engineer-at-heymilo-ai-4323227897,AI Engineer,HeyMilo AI,ai_ml_engineer,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
full-stack-ai-application-engineer-at-prismetic-4347234085,Full-Stack AI Application Engineer,PRISMETIC,ai_ml_engineer,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
senior-ai-augmented-software-engineer-at-dijital-team-4320712827,Senior AI-Augmented Software Engineer,Dijital Team,ai_ml_engineer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
machine-learning-engineer-l5-ads-at-netflix-4295854495,Machine Learning Engineer (L5) - Ads,Netflix,ai_ml_engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
machine-learning-engineer-at-emonics-llc-4324337386,Machine Learning Engineer,Emonics LLC,ai_ml_engineer,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
machine-learning-engineer-l4-production-science-at-netflix-4340536132,Machine Learning Engineer (L4) - Production Science,Netflix,ai_ml_engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
machine-learning-engineer-l5-content-understanding-at-netflix-4241285593,Machine Learning Engineer (L5) - Content Understanding,Netflix,ai_ml_engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
machine-learning-engineer-at-bumble-inc-4314095829,Machine Learning Engineer,Bumble Inc.,ai_ml_engineer,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
